Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects
25-36,Dry,Dry to Normal,No,Dark Spots,General,Alpha Arbutin + Niacinamide + Licorice Extract,3% + 1% + 0.5%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Dry,Dry to Normal,No,Dullness,General,Vitamin C + Hyaluronic Acid + Niacinamide,1% + 0.5% + 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
25-36,Dry,Dry to Normal,No,Hyperpigmentation,General,Alpha Arbutin + Vitamin C + Licorice Extract,10% + 0.5% + 1%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
25-36,Dry,Dry to Normal,No,Open Pores,General,Salicylic Acid + Niacinamide + Azelaic Acid,8% + 5% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
25-36,Dry,Dry to Normal,No,Redness,General,Chamomile Extract + Green Tea Extract + Centella Asiatica,10% + 8% + 2%,"Calms redness and irritation, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier"
25-36,Dry,Dry to Normal,No,Sun Tan,General,Niacinamide + Licorice Extract + Vitamin C,10% + 1% + 3%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
25-36,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,Zinc PCA + Glycolic Acid + Niacinamide,0.5% + 3% + 2%,"Controls sebum production, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum"
25-36,Dry,Dry to Normal,No,Wrinkles,General,Retinol + Coenzyme Q10 + Peptides,5% + 2% + 8%,"Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair, Improves skin elasticity and firmness"
25-36,Dry,Extreme Dry,Yes,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,10% + 5% + 1%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Dry,Extreme Dry,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Green Tea Extract,3% + 2% + 5%,"Controls sebum production, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
25-36,Dry,Extreme Dry,Yes,Acne,Nodular,Benzoyl Peroxide + Salicylic Acid + Green Tea Extract,3% + 1% + 8%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
25-36,Dry,Extreme Dry,Yes,Acne,Cystic,Zinc PCA + Salicylic Acid + Niacinamide,5% + 2% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,Vitamin C + Caffeine + Hyaluronic Acid,5% + 3% + 8%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
25-36,Dry,Extreme Dry,Yes,Dark Circles,Vascular,Vitamin K + Licorice Extract + Hyaluronic Acid,2% + 10% + 0.5%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
25-36,Dry,Extreme Dry,Yes,Dark Spots,General,Licorice Extract + Vitamin C + Kojic Acid,5% + 2% + 0.5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration"
25-36,Dry,Extreme Dry,Yes,Dullness,General,Vitamin C + Hyaluronic Acid + Lactic Acid,2% + 0.5% + 3%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Gently exfoliates and improves skin radiance"
25-36,Dry,Extreme Dry,Yes,Hyperpigmentation,General,Vitamin C + Alpha Arbutin + Niacinamide,0.5% + 1% + 8%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,Yes,Open Pores,General,Green Tea Extract + Azelaic Acid + Clay,10% + 5% + 8%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
25-36,Dry,Extreme Dry,Yes,Redness,General,Centella Asiatica + Chamomile Extract + Aloe Vera,3% + 0.5% + 1%,"Soothes irritation and repairs skin barrier, Calms redness and irritation, Soothes and hydrates irritated skin"
25-36,Dry,Extreme Dry,Yes,Sun Tan,General,Niacinamide + Alpha Arbutin + Vitamin C,5% + 1% + 8%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Glycolic Acid + Zinc PCA,3% + 2% + 8%,"Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin, Controls sebum production"
25-36,Dry,Extreme Dry,Yes,Wrinkles,General,Niacinamide + Coenzyme Q10 + Retinol,1% + 5% + 0.5%,"Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles"
25-36,Dry,Extreme Dry,No,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,8% + 5% + 1%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production"
25-36,Dry,Extreme Dry,No,Acne,Inflammatory,Benzoyl Peroxide + Zinc PCA + Niacinamide,8% + 3% + 0.5%,"Kills acne-causing bacteria, Controls sebum production, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,No,Acne,Nodular,Azelaic Acid + Green Tea Extract + Niacinamide,3% + 10% + 1%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,No,Acne,Cystic,Green Tea Extract + Salicylic Acid + Niacinamide,10% + 8% + 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,No,Dark Circles,Pigmented,Licorice Extract + Vitamin C + Vitamin K,3% + 1% + 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Improves blood circulation under eyes"
25-36,Dry,Extreme Dry,No,Dark Circles,Vascular,Caffeine + Licorice Extract + Niacinamide,1% + 3% + 8%,"Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,No,Dark Spots,General,Niacinamide + Kojic Acid + Vitamin C,1% + 2% + 5%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation"
25-36,Dry,Extreme Dry,No,Dullness,General,Vitamin C + Niacinamide + Hyaluronic Acid,5% + 10% + 0.5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
25-36,Dry,Extreme Dry,No,Hyperpigmentation,General,Alpha Arbutin + Licorice Extract + Vitamin C,2% + 5% + 1%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
25-36,Dry,Extreme Dry,No,Open Pores,General,Azelaic Acid + Niacinamide + Salicylic Acid,0.5% + 3% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
25-36,Dry,Extreme Dry,No,Redness,General,Green Tea Extract + Chamomile Extract + Centella Asiatica,3% + 0.5% + 8%,"Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Soothes irritation and repairs skin barrier"
25-36,Dry,Extreme Dry,No,Sun Tan,General,Alpha Arbutin + Licorice Extract + Niacinamide,5% + 1% + 10%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
25-36,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Willow Bark Extract,0.5% + 8% + 2%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Naturally exfoliates and clears pores"
25-36,Dry,Extreme Dry,No,Wrinkles,General,Peptides + Niacinamide + Hyaluronic Acid,0.5% + 10% + 2%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
25-36,Oily,Oily to Normal,Yes,Acne,Comedonal,Green Tea Extract + Benzoyl Peroxide + Niacinamide,0.5% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
25-36,Oily,Oily to Normal,Yes,Acne,Inflammatory,Niacinamide + Azelaic Acid + Salicylic Acid,1% + 5% + 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
25-36,Oily,Oily to Normal,Yes,Acne,Nodular,Benzoyl Peroxide + Niacinamide + Salicylic Acid,3% + 10% + 2%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
25-36,Oily,Oily to Normal,Yes,Acne,Cystic,Niacinamide + Benzoyl Peroxide + Salicylic Acid,8% + 1% + 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
25-36,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Niacinamide + Hyaluronic Acid + Vitamin C,1% + 3% + 0.5%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Vitamin K + Vitamin C + Hyaluronic Acid,5% + 10% + 8%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
25-36,Oily,Oily to Normal,Yes,Dark Spots,General,Vitamin C + Niacinamide + Alpha Arbutin,5% + 8% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
25-36,Oily,Oily to Normal,Yes,Dullness,General,Vitamin C + Lactic Acid + Hyaluronic Acid,10% + 5% + 3%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Hydrates and plumps the skin"
25-36,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Niacinamide + Vitamin C + Alpha Arbutin,10% + 5% + 0.5%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
25-36,Oily,Oily to Normal,Yes,Open Pores,General,Green Tea Extract + Clay + Azelaic Acid,10% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
25-36,Oily,Oily to Normal,Yes,Redness,General,Centella Asiatica + Aloe Vera + Niacinamide,1% + 3% + 2%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
25-36,Oily,Oily to Normal,Yes,Sun Tan,General,Vitamin C + Licorice Extract + Aloe Vera,10% + 5% + 0.5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin"
25-36,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,Niacinamide + Salicylic Acid + Glycolic Acid,8% + 5% + 1%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
25-36,Oily,Oily to Normal,Yes,Wrinkles,General,Coenzyme Q10 + Hyaluronic Acid + Retinol,0.5% + 3% + 1%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles"
25-36,Oily,Oily to Normal,No,Acne,Comedonal,Green Tea Extract + Zinc PCA + Salicylic Acid,8% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Unclogs pores and removes excess oil"
25-36,Oily,Oily to Normal,No,Acne,Inflammatory,Zinc PCA + Azelaic Acid + Salicylic Acid,0.5% + 3% + 2%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
25-36,Oily,Oily to Normal,No,Acne,Nodular,Benzoyl Peroxide + Green Tea Extract + Salicylic Acid,5% + 2% + 3%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
25-36,Oily,Oily to Normal,No,Acne,Cystic,Benzoyl Peroxide + Zinc PCA + Niacinamide,2% + 3% + 8%,"Kills acne-causing bacteria, Controls sebum production, Reduces inflammation and regulates sebum"
25-36,Oily,Oily to Normal,No,Dark Circles,Pigmented,Niacinamide + Licorice Extract + Vitamin K,3% + 0.5% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
25-36,Oily,Oily to Normal,No,Dark Circles,Vascular,Hyaluronic Acid + Niacinamide + Vitamin C,0.5% + 3% + 8%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
25-36,Oily,Oily to Normal,No,Dark Spots,General,Niacinamide + Kojic Acid + Licorice Extract,8% + 5% + 2%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone"
25-36,Oily,Oily to Normal,No,Dullness,General,Niacinamide + Hyaluronic Acid + Green Tea Extract,10% + 2% + 0.5%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Oily to Normal,No,Hyperpigmentation,General,Alpha Arbutin + Licorice Extract + Vitamin C,8% + 1% + 0.5%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
25-36,Oily,Oily to Normal,No,Open Pores,General,Salicylic Acid + Green Tea Extract + Clay,0.5% + 1% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
25-36,Oily,Oily to Normal,No,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide,2% + 3% + 1%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
25-36,Oily,Oily to Normal,No,Sun Tan,General,Aloe Vera + Niacinamide + Licorice Extract,1% + 3% + 5%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,Niacinamide + Willow Bark Extract + Glycolic Acid,0.5% + 1% + 3%,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin"
25-36,Oily,Oily to Normal,No,Wrinkles,General,Retinol + Coenzyme Q10 + Niacinamide,0.5% + 1% + 2%,"Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Acne,Comedonal,Zinc PCA + Niacinamide + Salicylic Acid,10% + 0.5% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
25-36,Oily,Extreme Oily,Yes,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,10% + 2% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
25-36,Oily,Extreme Oily,Yes,Acne,Nodular,Niacinamide + Benzoyl Peroxide + Salicylic Acid,8% + 5% + 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
25-36,Oily,Extreme Oily,Yes,Acne,Cystic,Azelaic Acid + Green Tea Extract + Niacinamide,2% + 5% + 3%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,Vitamin C + Vitamin K + Niacinamide,3% + 10% + 0.5%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Dark Circles,Vascular,Caffeine + Niacinamide + Licorice Extract,0.5% + 5% + 1%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Oily,Extreme Oily,Yes,Dark Spots,General,Niacinamide + Licorice Extract + Kojic Acid,2% + 1% + 5%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration"
25-36,Oily,Extreme Oily,Yes,Dullness,General,Hyaluronic Acid + Niacinamide + Vitamin C,8% + 1% + 3%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
25-36,Oily,Extreme Oily,Yes,Hyperpigmentation,General,Vitamin C + Tranexamic Acid + Niacinamide,0.5% + 10% + 5%,"Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Open Pores,General,Salicylic Acid + Clay + Azelaic Acid,3% + 2% + 5%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
25-36,Oily,Extreme Oily,Yes,Redness,General,Centella Asiatica + Aloe Vera + Niacinamide,1% + 5% + 2%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Sun Tan,General,Licorice Extract + Aloe Vera + Niacinamide,8% + 2% + 10%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Salicylic Acid + Niacinamide,1% + 0.5% + 3%,"Exfoliates dead skin cells and smooths skin, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,Yes,Wrinkles,General,Hyaluronic Acid + Peptides + Retinol,0.5% + 3% + 10%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles"
25-36,Oily,Extreme Oily,No,Acne,Comedonal,Azelaic Acid + Salicylic Acid + Green Tea Extract,8% + 3% + 2%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Acne,Inflammatory,Salicylic Acid + Niacinamide + Zinc PCA,1% + 3% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production"
25-36,Oily,Extreme Oily,No,Acne,Nodular,Niacinamide + Benzoyl Peroxide + Green Tea Extract,8% + 5% + 1%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Acne,Cystic,Green Tea Extract + Benzoyl Peroxide + Azelaic Acid,5% + 10% + 8%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces acne and improves skin texture"
25-36,Oily,Extreme Oily,No,Dark Circles,Pigmented,Licorice Extract + Caffeine + Niacinamide,3% + 1% + 8%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,No,Dark Circles,Vascular,Vitamin C + Caffeine + Hyaluronic Acid,10% + 3% + 2%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
25-36,Oily,Extreme Oily,No,Dark Spots,General,Alpha Arbutin + Vitamin C + Niacinamide,10% + 1% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
25-36,Oily,Extreme Oily,No,Dullness,General,Niacinamide + Green Tea Extract + Lactic Acid,8% + 3% + 10%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
25-36,Oily,Extreme Oily,No,Hyperpigmentation,General,Niacinamide + Vitamin C + Tranexamic Acid,0.5% + 8% + 3%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation"
25-36,Oily,Extreme Oily,No,Open Pores,General,Salicylic Acid + Niacinamide + Green Tea Extract,10% + 3% + 8%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Redness,General,Centella Asiatica + Aloe Vera + Green Tea Extract,8% + 10% + 5%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits"
25-36,Oily,Extreme Oily,No,Sun Tan,General,Vitamin C + Niacinamide + Aloe Vera,8% + 3% + 0.5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
25-36,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,Glycolic Acid + Willow Bark Extract + Zinc PCA,3% + 2% + 5%,"Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores, Controls sebum production"
25-36,Oily,Extreme Oily,No,Wrinkles,General,Hyaluronic Acid + Niacinamide + Peptides,8% + 3% + 10%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Azelaic Acid + Salicylic Acid + Niacinamide,0.5% + 10% + 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Zinc PCA + Green Tea Extract + Benzoyl Peroxide,2% + 5% + 10%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Nodular,Azelaic Acid + Benzoyl Peroxide + Niacinamide,10% + 1% + 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,Niacinamide + Salicylic Acid + Azelaic Acid,3% + 1% + 5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,Niacinamide + Caffeine + Vitamin C,5% + 8% + 3%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,Niacinamide + Hyaluronic Acid + Vitamin K,0.5% + 8% + 3%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves blood circulation under eyes"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,Licorice Extract + Alpha Arbutin + Kojic Acid,2% + 3% + 10%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,Green Tea Extract + Hyaluronic Acid + Vitamin C,3% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,Tranexamic Acid + Vitamin C + Licorice Extract,2% + 3% + 8%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,Green Tea Extract + Azelaic Acid + Clay,10% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,Aloe Vera + Centella Asiatica + Green Tea Extract,5% + 0.5% + 1%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,8% + 1% + 3%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,Niacinamide + Salicylic Acid + Willow Bark Extract,10% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores"
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,Retinol + Peptides + Coenzyme Q10,3% + 0.5% + 2%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Azelaic Acid + Green Tea Extract + Salicylic Acid,2% + 1% + 3%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Azelaic Acid,5% + 3% + 0.5%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Nodular,Zinc PCA + Azelaic Acid + Salicylic Acid,5% + 10% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cystic,Azelaic Acid + Benzoyl Peroxide + Niacinamide,2% + 8% + 10%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Pigmented,Caffeine + Vitamin C + Hyaluronic Acid,0.5% + 3% + 1%,"Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,Hyaluronic Acid + Licorice Extract + Vitamin K,2% + 5% + 1%,"Hydrates and plumps the skin, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,Vitamin C + Niacinamide + Licorice Extract,2% + 1% + 5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,Green Tea Extract + Hyaluronic Acid + Niacinamide,5% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,Niacinamide + Tranexamic Acid + Alpha Arbutin,2% + 3% + 5%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,Niacinamide + Salicylic Acid + Azelaic Acid,2% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,Green Tea Extract + Niacinamide + Chamomile Extract,8% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Calms redness and irritation"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,Alpha Arbutin + Aloe Vera + Licorice Extract,1% + 8% + 0.5%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,Salicylic Acid + Zinc PCA + Glycolic Acid,3% + 1% + 5%,"Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin"
